timestamp,joint1,joint2,joint3,joint4,joint5,joint6
1.800000,-0.103472,0.127320,0.346322,0.450535,0.390945,0.195579
1.833333,-0.093379,0.143041,0.350575,0.431615,0.348048,0.139175
1.866667,-0.087371,0.152089,0.345880,0.402859,0.296229,0.076139
1.900000,-0.083845,0.156029,0.333954,0.366249,0.237725,0.008829
1.933333,-0.080923,0.156738,0.316848,0.324105,0.175095,-0.060100
1.966667,-0.076603,0.156241,0.296781,0.278920,0.111056,-0.127860
2.000000,-0.068941,0.156536,0.275967,0.233183,0.048305,-0.191715
2.033333,-0.056209,0.159429,0.256443,0.189205,-0.010661,-0.249155
2.066667,-0.037055,0.166382,0.239915,0.148960,-0.063705,-0.298060
2.100000,-0.010623,0.178384,0.227631,0.113956,-0.109178,-0.336827
2.133333,0.023358,0.195864,0.220285,0.085135,-0.146023,-0.364472
2.166667,0.064529,0.218644,0.217972,0.062827,-0.173822,-0.380677
2.200000,0.111905,0.245941,0.220183,0.046744,-0.192804,-0.385799
2.233333,0.163926,0.276414,0.225852,0.036019,-0.203804,-0.380823
2.266667,0.218548,0.308256,0.233443,0.029296,-0.208173,-0.367278
2.300000,0.273375,0.339320,0.241078,0.024852,-0.207662,-0.347109
2.333333,0.325819,0.367279,0.246682,0.020748,-0.204263,-0.322525
2.366667,0.373272,0.389792,0.248163,0.014996,-0.200047,-0.295829
2.400000,0.413287,0.404686,0.243576,0.005730,-0.196990,-0.269241
2.433333,0.443741,0.410113,0.231288,-0.008631,-0.196805,-0.244734
2.466667,0.462989,0.404704,0.210122,-0.029241,-0.200809,-0.223891
2.500000,0.469975,0.387670,0.179464,-0.056721,-0.209803,-0.207785
2.533333,0.464305,0.358881,0.139332,-0.091087,-0.224005,-0.196909
2.566667,0.446275,0.318889,0.090401,-0.131727,-0.243025,-0.191148
2.600000,0.416853,0.268900,0.033978,-0.177426,-0.265885,-0.189796
2.633333,0.377609,0.210710,-0.028073,-0.226437,-0.291088,-0.191619
2.666667,0.330606,0.146590,-0.093438,-0.276588,-0.316721,-0.194964
2.700000,0.278261,0.079143,-0.159499,-0.325428,-0.340606,-0.197893
2.733333,0.223174,0.011136,-0.223506,-0.370398,-0.360452,-0.198348
2.766667,0.167952,-0.054682,-0.282754,-0.408998,-0.374039,-0.194319
2.800000,0.115035,-0.115757,-0.334759,-0.438972,-0.379382,-0.184016
2.833333,0.066532,-0.169889,-0.377422,-0.458462,-0.374895,-0.166022
2.866667,0.024088,-0.215372,-0.409163,-0.466142,-0.359512,-0.139422
2.900000,-0.011220,-0.251095,-0.429020,-0.461315,-0.332791,-0.103895
2.933333,-0.038936,-0.276597,-0.436707,-0.443963,-0.294953,-0.059759
2.966667,-0.059235,-0.292079,-0.432620,-0.414758,-0.246895,-0.007979
3.000000,-0.072889,-0.298366,-0.417797,-0.375013,-0.190135,0.049885
